Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
accordion,has_buttons,external_component,e,ce,visual-form_and_surface,8,5,163.0,13,ND,0.077,0.049,0.0,0.0,11,@,1,0.0,2,0.69,2.9,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.1,1,10,2,0,2,0,2,0,0,0,2,1
airplane,has_wings,external_component,e,ce,visual-form_and_surface,20,2,529.0,44,ND,0.023,0.038,84.35,84.35,9,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.3,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
alligator,has_a_tail,external_component,e,ce,visual-form_and_surface,9,9,379.0,39,ND,0.026,0.024,46.64,6.7,10,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
ambulance,has_wheels,external_component,e,ce,visual-form_and_surface,8,9,124.0,11,ND,0.091,0.065,46.96,15.21,12,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.0,2,7,7,1,4,3,1,0,0,0,1,2
apple,has_skin,external_component,e,ce,visual-form_and_surface,6,14,131.0,16,ND,0.063,0.046,129.0,98.66,8,&,15,2.71,3512,8.16,8.3,5,3,2,564.29,54.68,2,19,17,4,23.5,0.226,0.223,396.27,21,27,2,0,4,3,0,3,0,2,3,2
axe,has_a_handle,external_component,e,ce,visual-form_and_surface,23,3,508.0,42,ND,0.024,0.045,65.34,47.12,12,&,25,3.22,1226,7.11,4.6,3,3,1,0.0,0.0,8,16,14,5,35.7,0.34,0.355,245.12,12,33,6,0,5,0,0,0,0,2,1,2
barn,has_doors,external_component,e,ce,visual-form_and_surface,6,14,163.0,15,ND,0.067,0.037,30.4,30.4,9,b,33,3.5,1600,7.38,5.6,4,3,1,1518.6,65.03,12,17,16,8,50.0,0.542,0.543,42.15,2,7,6,0,6,1,0,0,1,0,2,1
basket,has_a_handle,external_component,e,ce,visual-form_and_surface,17,3,508.0,42,ND,0.024,0.033,0.0,0.0,12,b,19,2.94,1830,7.51,6.9,6,6,2,933.52,108.46,2,9,9,6,66.7,0.679,0.684,0.0,0,0,4,0,3,0,0,0,0,0,2,0
bat_(animal),has_wings,external_component,e,ce,visual-form_and_surface,26,1,529.0,44,ND,0.023,0.049,91.58,91.58,9,b,24,3.18,1578,7.36,4.25,3,3,1,0.0,0.0,22,16,14,6,42.9,0.502,0.508,135.94,5,18,0,1,4,1,1,0,0,0,7,2
bat_(animal),has_fur,external_component,e,ce,visual-form_and_surface,11,6,264.0,22,ND,0.045,0.042,35.56,0.0,7,b,24,3.18,1578,7.36,4.25,3,3,1,0.0,0.0,22,16,14,6,42.9,0.502,0.508,135.94,5,18,0,1,4,1,1,0,0,0,7,2
bear,has_fur,external_component,e,ce,visual-form_and_surface,20,2,264.0,22,ND,0.045,0.076,82.13,46.57,7,b,83,4.42,7158,8.88,4.55,4,3,1,3039.46,757.07,18,19,17,1,5.9,0.113,0.114,146.84,14,12,1,1,7,3,0,0,0,0,5,2
