Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
airplane,made_of_metal,made_of,e,m,visual-form_and_surface,8,7,1472.0,133,ND,0.008,0.005,0.0,0.0,13,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.3,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
anchor,made_of_metal,made_of,e,m,visual-form_and_surface,21,2,1472.0,133,ND,0.008,0.014,0.0,0.0,13,&,17,2.83,700,6.55,3.85,6,5,2,336.5,22.85,0,14,13,9,69.2,0.684,0.71,16.2,1,17,3,0,3,0,0,0,0,1,6,1
apron,made_of_cotton,made_of,e,m,visual-form_and_surface,6,8,88.0,12,ND,0.083,0.068,10.61,10.61,14,eI,8,2.08,573,6.35,4.75,5,5,2,161.65,10.17,0,13,13,4,30.8,0.352,0.33,26.39,2,6,8,0,4,0,0,0,0,0,1,0
armour,made_of_metal,made_of,e,m,visual-form_and_surface,24,2,1472.0,133,ND,0.008,0.016,9.25,9.25,13,A:,2,0.69,897,6.8,2.45,6,4,2,523.75,155.26,2,11,11,3,27.3,0.378,0.387,53.89,5,18,4,0,2,1,0,0,0,1,3,0
ashtray,made_of_glass,made_of,e,m,visual-form_and_surface,13,2,171.0,14,ND,0.071,0.076,0.0,0.0,13,&,1,0.0,324,5.78,5.6,7,5,2,325.76,38.62,0,11,11,5,45.5,0.442,0.436,0.0,0,0,4,0,5,0,0,0,1,0,1,0
ashtray,made_of_plastic,made_of,e,m,visual-form_and_surface,6,9,446.0,51,ND,0.02,0.013,0.0,0.0,15,&,1,0.0,324,5.78,5.6,7,5,2,325.76,38.62,0,11,11,5,45.5,0.442,0.436,0.0,0,0,4,0,5,0,0,0,1,0,1,0
bag,made_of_plastic,made_of,e,m,visual-form_and_surface,22,1,446.0,51,ND,0.02,0.049,17.38,17.38,15,b,52,3.95,7536,8.93,8.55,3,3,1,0.0,0.0,22,12,12,2,16.7,0.238,0.242,91.14,7,16,3,0,5,1,0,0,0,0,3,0
balloon,made_of_plastic,made_of,e,m,visual-form_and_surface,5,15,446.0,51,ND,0.02,0.011,0.0,0.0,15,b,13,2.56,1036,6.94,7.05,7,5,2,590.62,79.79,0,18,18,9,50.0,0.512,0.505,24.99,2,6,2,2,4,2,2,0,0,1,5,0
banjo,made_of_wood,made_of,e,m,visual-form_and_surface,18,3,1091.0,79,ND,0.013,0.016,0.0,0.0,12,b,2,0.69,49,3.89,3.15,5,5,2,354.46,21.93,0,12,11,3,27.3,0.358,0.344,76.35,3,11,4,0,4,0,2,0,0,0,1,1
banner,made_of_plastic,made_of,e,m,visual-form_and_surface,5,9,446.0,51,ND,0.02,0.011,0.0,0.0,15,b,10,2.3,900,6.8,6.1,6,5,2,2079.73,263.28,6,13,12,4,33.3,0.365,0.378,36.02,2,7,3,0,7,1,0,0,0,0,1,1
