Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
anchor,is_heavy,systemic_property,e,sys,tactile,22,1,253.0,27,ND,0.037,0.087,16.2,16.2,8,&,17,2.83,700,6.55,3.85,6,5,2,336.5,22.85,0,14,13,9,69.2,0.684,0.71,16.2,1,17,3,0,3,0,0,0,0,1,6,1
apple,is_crunchy,internal_surface_property,e,si,tactile,11,5,120.0,11,ND,0.091,0.092,24.32,24.32,10,&,15,2.71,3512,8.16,8.3,5,3,2,564.29,54.68,2,19,17,4,23.5,0.226,0.223,396.27,21,27,2,0,4,3,0,3,0,2,3,2
apple,is_juicy,internal_surface_property,e,si,tactile,10,7,230.0,21,ND,0.048,0.043,240.01,171.46,8,&,15,2.71,3512,8.16,8.3,5,3,2,564.29,54.68,2,19,17,4,23.5,0.226,0.223,396.27,21,27,2,0,4,3,0,3,0,2,3,2
armour,is_heavy,systemic_property,e,sys,tactile,12,4,253.0,27,ND,0.037,0.047,0.0,0.0,8,A:,2,0.69,897,6.8,2.45,6,4,2,523.75,155.26,2,11,11,3,27.3,0.378,0.387,53.89,5,18,4,0,2,1,0,0,0,1,3,0
avocado,is_soft,external_surface_property,e,se,tactile,5,10,239.0,27,ND,0.037,0.021,0.0,0.0,7,&,16,2.77,130,4.87,3.7,7,7,4,148.24,7.69,0,10,8,3,37.5,0.331,0.332,31.59,2,20,2,0,2,1,0,1,0,1,1,2
axe,is_sharp,external_surface_property,e,se,tactile,18,4,281.0,18,ND,0.056,0.064,96.73,86.08,8,&,25,3.22,1226,7.11,4.6,3,3,1,0.0,0.0,8,16,14,5,35.7,0.34,0.355,245.12,12,33,6,0,5,0,0,0,0,2,1,2
axe,is_heavy,systemic_property,e,sys,tactile,12,8,253.0,27,ND,0.037,0.047,16.32,16.32,8,&,25,3.22,1226,7.11,4.6,3,3,1,0.0,0.0,8,16,14,5,35.7,0.34,0.355,245.12,12,33,6,0,5,0,0,0,0,2,1,2
ball,is_hard,external_surface_property,e,se,tactile,5,8,211.0,22,ND,0.045,0.024,0.0,0.0,7,b,123,4.81,9107,9.12,8.35,4,3,1,3261.22,442.52,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0
banana,is_soft,external_surface_property,e,se,tactile,12,4,239.0,27,ND,0.037,0.05,0.0,0.0,7,b,5,1.61,991,6.9,8.1,6,6,3,440.39,29.34,0,15,14,2,14.3,0.236,0.232,180.99,12,18,3,0,4,2,0,1,0,1,3,1
bat_(baseball),is_heavy,systemic_property,e,sys,tactile,5,8,253.0,27,ND,0.037,0.02,0.0,0.0,8,b,24,3.18,1578,7.36,6.85,3,3,1,0.0,0.0,22,8,8,3,37.5,0.402,0.398,0.0,0,0,4,0,3,0,0,0,0,1,0,0
bathtub,is_hard,external_surface_property,e,se,tactile,5,12,211.0,22,ND,0.045,0.024,0.0,0.0,7,b,5,1.61,33,3.5,8.05,7,6,2,428.51,22.23,0,16,16,8,50.0,0.434,0.385,156.19,3,11,7,0,3,1,0,0,0,1,4,0
bayonet,is_sharp,external_surface_property,e,se,tactile,5,4,281.0,18,ND,0.056,0.018,7.92,7.92,8,b,9,2.2,161,5.08,1.75,7,6,3,244.49,30.39,1,7,6,2,33.3,0.274,0.228,36.74,2,33,1,0,1,0,0,0,0,1,3,1
beaver,is_furry,external_surface_property,e,se,tactile,18,6,211.0,20,ND,0.05,0.085,71.26,40.67,8,b,3,1.1,220,5.39,4.05,6,5,2,2620.17,165.15,4,15,13,6,46.2,0.502,0.531,119.69,6,29,1,2,2,1,0,0,0,1,6,2
bed,is_soft,external_surface_property,e,se,tactile,13,4,239.0,27,ND,0.037,0.054,83.08,83.08,7,b,139,4.93,18117,9.8,8.95,3,3,1,0.0,0.0,14,17,16,9,56.3,0.56,0.578,217.57,8,38,2,0,5,0,0,0,0,3,6,1
beetle,is_hard,external_surface_property,e,se,tactile,8,7,211.0,22,ND,0.045,0.038,7.86,7.86,7,b,1,0.0,556,6.32,4.2,6,4,2,1984.85,344.35,0,13,11,0,0.0,0.056,0.046,99.86,3,5,0,2,6,1,0,0,0,1,1,2
beets,is_juicy,internal_surface_property,e,si,tactile,5,13,230.0,21,ND,0.048,0.022,21.99,21.99,8,b,2,0.69,133,4.89,5.5,5,4,1,963.76,44.64,4,15,13,3,23.1,0.222,0.203,149.46,10,22,4,0,2,2,0,0,0,1,4,2
bench,is_hard,external_surface_property,e,se,tactile,7,7,211.0,22,ND,0.045,0.033,0.0,0.0,7,b,43,3.76,2605,7.87,7.6,5,4,1,1893.63,86.74,5,11,11,4,36.4,0.34,0.334,0.0,0,0,2,0,5,1,0,0,0,1,2,0
biscuit,is_crunchy,internal_surface_property,e,si,tactile,8,3,120.0,11,ND,0.091,0.067,8.35,8.35,10,b,7,1.95,1623,7.39,7.4,7,6,2,274.66,45.13,0,11,10,4,40.0,0.382,0.381,42.23,3,20,2,0,2,0,0,1,0,1,4,1
