feature type,Concept,Feature,pf,attribute type
visual perceptual,alligator,is_green,16,color
visual perceptual,ambulance,is_white,9,color
visual perceptual,ant,is_black,15,color
visual perceptual,ant,is_red,11,color
visual perceptual,apple,is_green,19,color
visual perceptual,apple,is_red,19,color
visual perceptual,apricot,is_orange,17,color
visual perceptual,apricot,is_yellow,6,color
visual perceptual,artichoke,is_green,19,color
visual perceptual,asparagus,is_green,26,color
visual perceptual,aspirin,is_white,16,color
visual perceptual,aubergine,is_green,5,color
visual perceptual,avocado,is_green,28,color
visual perceptual,bacon,is_pink,20,color
visual perceptual,banana,is_yellow,28,color
visual perceptual,banana,is_green,5,color
visual perceptual,basin,is_white,6,color
visual perceptual,bath,is_white,7,color
visual perceptual,bean,is_green,15,color
visual perceptual,bear,is_brown,9,color
visual perceptual,bear,is_black,5,color
visual perceptual,beaver,is_brown,12,color
visual perceptual,bee,is_yellow,20,color
visual perceptual,bee,is_black,19,color
visual perceptual,beer,is_brown,8,color
visual perceptual,beer,is_yellow,5,color
visual perceptual,beetle,is_black,12,color
visual perceptual,brandy,is_brown,8,color
visual perceptual,bread,is_brown,11,color
visual perceptual,bread,is_white,11,color
visual perceptual,brick,is_red,16,color
visual perceptual,broccoli,is_green,30,color
visual perceptual,budgie,is_yellow,5,color
visual perceptual,buffalo,is_brown,10,color
visual perceptual,bus,is_red,14,color
visual perceptual,butter,is_yellow,25,color
visual perceptual,buttercup,is_yellow,28,color
visual perceptual,buzzard,is_brown,12,color
visual perceptual,cabbage,is_green,28,color
visual perceptual,cabbage,is_red,6,color
visual perceptual,calf,is_black,7,color
visual perceptual,calf,is_brown,5,color
visual perceptual,calf,is_white,5,color
visual perceptual,camel,is_brown,7,color
visual perceptual,canary,is_yellow,25,color
visual perceptual,candle,is_white,5,color
visual perceptual,carnation,is_pink,8,color
visual perceptual,carnation,is_red,7,color
visual perceptual,carnation,is_white,5,color
visual perceptual,carrot,is_orange,29,color
visual perceptual,caterpillar,is_green,12,color
visual perceptual,cauliflower,is_white,27,color
visual perceptual,celery,is_green,27,color
visual perceptual,centipede,is_brown,9,color
visual perceptual,champagne,is_yellow,8,color
visual perceptual,cheese,is_yellow,11,color
visual perceptual,cheetah,is_yellow,5,color
visual perceptual,cherry,is_red,26,color
visual perceptual,chestnut,is_brown,19,color
visual perceptual,chipmunk,is_brown,11,color
visual perceptual,chocolate,is_brown,20,color
visual perceptual,chocolate,is_white,14,color
visual perceptual,cider,is_yellow,9,color
visual perceptual,cigar,is_brown,13,color
visual perceptual,cigarette,is_white,11,color
visual perceptual,cigarette,is_orange,6,color
visual perceptual,clarinet,is_black,11,color
visual perceptual,cloak,is_black,7,color
visual perceptual,cockroach,is_black,9,color
visual perceptual,cockroach,is_brown,9,color
visual perceptual,coconut,is_brown,20,color
visual perceptual,coconut,is_white,12,color
visual perceptual,cod,is_white,10,color
visual perceptual,codeine,is_white,7,color
visual perceptual,coffee,is_brown,14,color
visual perceptual,coffee,is_black,6,color
visual perceptual,cork,is_brown,8,color
visual perceptual,corn,is_yellow,20,color
visual perceptual,courgette,is_green,30,color
visual perceptual,courgette,is_yellow,6,color
visual perceptual,cow,is_black,14,color
visual perceptual,cow,is_white,14,color
visual perceptual,cow,is_brown,5,color
visual perceptual,crab,is_red,6,color
visual perceptual,cricket,is_green,16,color
visual perceptual,crocodile,is_green,17,color
visual perceptual,cucumber,is_green,30,color
visual perceptual,currant,is_black,15,color
visual perceptual,currant,is_red,7,color
visual perceptual,daffodil,is_yellow,27,color
visual perceptual,daisy,is_yellow,22,color
visual perceptual,daisy,is_white,18,color
visual perceptual,dandelion,is_yellow,24,color
visual perceptual,dandelion,is_white,5,color
visual perceptual,dates,is_brown,12,color
visual perceptual,deer,is_brown,11,color
visual perceptual,dice,is_white,7,color
visual perceptual,dishwasher,is_white,6,color
visual perceptual,dolphin,is_grey,14,color
visual perceptual,donkey,is_grey,11,color
visual perceptual,dove,is_white,26,color
visual perceptual,elephant,is_grey,20,color
visual perceptual,elm,is_green,7,color
visual perceptual,envelope,is_white,9,color
visual perceptual,envelope,is_brown,6,color
visual perceptual,eucalyptus,is_green,8,color
visual perceptual,eye,is_brown,6,color
visual perceptual,eye,is_green,6,color
visual perceptual,fern,is_green,29,color
visual perceptual,fir,is_green,18,color
visual perceptual,flamingo,is_pink,30,color
visual perceptual,flea,is_black,7,color
visual perceptual,flour,is_white,26,color
visual perceptual,flour,is_brown,5,color
visual perceptual,football,is_black,12,color
visual perceptual,football,is_white,6,color
visual perceptual,fox,is_red,13,color
visual perceptual,fox,is_orange,9,color
visual perceptual,fox,is_brown,5,color
visual perceptual,fridge,is_white,11,color
visual perceptual,frog,is_green,17,color
visual perceptual,garlic,is_white,16,color
visual perceptual,geranium,is_pink,5,color
visual perceptual,geranium,is_red,5,color
visual perceptual,gherkin,is_green,30,color
visual perceptual,giraffe,is_yellow,13,color
visual perceptual,giraffe,is_brown,7,color
visual perceptual,glue,is_white,10,color
