feature type,Concept,Feature,pf,attribute type
visual perceptual,accordion,buttons,8,component
visual perceptual,aeroplane,wings,28,component
visual perceptual,aeroplane,engine,12,component
visual perceptual,aeroplane,seat,6,component
visual perceptual,aeroplane,wheels,6,component
visual perceptual,alligator,teeth,23,component
visual perceptual,alligator,scales,19,component
visual perceptual,alligator,tail,16,component
visual perceptual,alligator,legs,8,component
visual perceptual,alligator,eyes,7,component
visual perceptual,alligator,claws,5,component
visual perceptual,ambulance,wheels,18,component
visual perceptual,anchor,point,5,component
visual perceptual,ant,legs,24,component
visual perceptual,ant,antenna,10,component
visual perceptual,ant,body,6,component
visual perceptual,apple,seeds,17,component
visual perceptual,apple,stem,13,component
visual perceptual,apple,skin,10,component
visual perceptual,apricot,stone,21,component
visual perceptual,apricot,skin,9,component
visual perceptual,arm,skin,13,component
visual perceptual,arm,flesh,8,component
visual perceptual,armchair,legs,11,component
visual perceptual,armchair,seat,5,component
visual perceptual,arrow,point,18,component
visual perceptual,arrow,feathers,7,component
visual perceptual,arrow,head,5,component
visual perceptual,artichoke,leaves,6,component
visual perceptual,artichoke,stem,5,component
visual perceptual,asparagus,stem,16,component
visual perceptual,aubergine,skin,10,component
visual perceptual,aubergine,seeds,8,component
visual perceptual,aubergine,stem,7,component
visual perceptual,avocado,stone,18,component
visual perceptual,avocado,skin,13,component
visual perceptual,avocado,flesh,9,component
visual perceptual,axe,handle,14,component
visual perceptual,axe,blade,9,component
visual perceptual,axe,head,5,component
visual perceptual,bag,handle,17,component
visual perceptual,bag,zip,7,component
visual perceptual,banana,skin,24,component
visual perceptual,banjo,neck,6,component
visual perceptual,banjo,body,5,component
visual perceptual,barge,engine,7,component
visual perceptual,barrel,lid,7,component
visual perceptual,basket,handle,22,component
visual perceptual,bayonet,point,10,component
visual perceptual,bayonet,blade,5,component
visual perceptual,bear,fur,27,component
visual perceptual,bear,claws,15,component
visual perceptual,bear,teeth,11,component
visual perceptual,beaver,tail,17,component
visual perceptual,beaver,teeth,17,component
visual perceptual,beaver,fur,13,component
visual perceptual,bed,legs,8,component
visual perceptual,bee,wings,19,component
visual perceptual,bee,legs,12,component
visual perceptual,bee,fur,7,component
visual perceptual,bee,antenna,6,component
visual perceptual,bee,eyes,5,component
visual perceptual,beer,head,7,component
visual perceptual,beetle,legs,23,component
visual perceptual,beetle,wings,10,component
visual perceptual,beetle,shell,9,component
visual perceptual,beetle,antenna,6,component
visual perceptual,bell,handle,10,component
visual perceptual,bellows,handle,16,component
visual perceptual,belt,holes,15,component
visual perceptual,bench,legs,17,component
visual perceptual,bench,seat,10,component
visual perceptual,bicycle,wheels,30,component
visual perceptual,bicycle,seat,9,component
visual perceptual,bikini,straps,8,component
visual perceptual,bin,lid,16,component
visual perceptual,birch,leaves,26,component
visual perceptual,birch,roots,14,component
encyclopaedic,biscuit,sugar,18,component
visual perceptual,blender,blade,18,component
visual perceptual,blender,lid,5,component
visual perceptual,blouse,buttons,25,component
visual perceptual,blueberry,seeds,7,component
visual perceptual,boat,engine,8,component
visual perceptual,bolts,head,8,component
visual perceptual,book,words,17,component
visual perceptual,boots,legs,10,component
visual perceptual,bottle,lid,16,component
visual perceptual,bottle,neck,5,component
visual perceptual,box,lid,12,component
visual perceptual,bra,straps,18,component
visual perceptual,broccoli,stem,15,component
visual perceptual,brochure,words,11,component
visual perceptual,broom,handle,23,component
visual perceptual,broom,head,5,component
visual perceptual,brush,handle,22,component
visual perceptual,bucket,handle,26,component
visual perceptual,budgie,feathers,18,component
visual perceptual,budgie,wings,16,component
visual perceptual,budgie,beak,15,component
visual perceptual,buffalo,fur,19,component
visual perceptual,buffalo,legs,7,component
visual perceptual,buffalo,tail,5,component
visual perceptual,buffalo,hooves,5,component
visual perceptual,buggy,wheels,24,component
visual perceptual,buggy,seat,16,component
visual perceptual,buggy,handle,10,component
visual perceptual,bullet,point,8,component
visual perceptual,bus,wheels,25,component
visual perceptual,bus,seat,15,component
visual perceptual,buttercup,petals,18,component
visual perceptual,buttercup,stem,11,component
visual perceptual,buttercup,leaves,9,component
visual perceptual,butterfly,wings,29,component
