feature type,Concept,Feature,pf,attribute type
visual perceptual,aeroplane,is_big_large,8,shape_and_size
visual perceptual,alligator,is_big_large,6,shape_and_size
visual perceptual,ant,is_small,24,shape_and_size
visual perceptual,apple,is_circular_round,13,shape_and_size
visual perceptual,apricot,is_small,7,shape_and_size
visual perceptual,arm,is_long,10,shape_and_size
visual perceptual,armchair,is_big_large,12,shape_and_size
visual perceptual,arrow,is_long,11,shape_and_size
visual perceptual,arrow,is_thin,7,shape_and_size
visual perceptual,ashtray,is_circular_round,6,shape_and_size
visual perceptual,asparagus,is_long,12,shape_and_size
visual perceptual,asparagus,is_thin,12,shape_and_size
visual perceptual,aspirin,is_small,12,shape_and_size
visual perceptual,aspirin,is_circular_round,6,shape_and_size
visual perceptual,aubergine,is_long,5,shape_and_size
visual perceptual,bacon,is_thin,5,shape_and_size
visual perceptual,badge,is_small,9,shape_and_size
visual perceptual,badge,is_circular_round,8,shape_and_size
visual perceptual,bag,is_big_large,6,shape_and_size
visual perceptual,bag,is_small,6,shape_and_size
visual perceptual,ball,is_circular_round,22,shape_and_size
visual perceptual,ball,is_small,5,shape_and_size
visual perceptual,balloon,is_circular_round,11,shape_and_size
visual perceptual,banjo,is_circular_round,8,shape_and_size
visual perceptual,barge,is_long,16,shape_and_size
visual perceptual,barge,is_big_large,10,shape_and_size
visual perceptual,barge,is_thin,6,shape_and_size
visual perceptual,barrel,is_circular_round,16,shape_and_size
visual perceptual,barrel,is_big_large,6,shape_and_size
visual perceptual,basin,is_circular_round,10,shape_and_size
visual perceptual,bath,is_big_large,6,shape_and_size
visual perceptual,bayonet,is_long,5,shape_and_size
visual perceptual,bean,is_small,18,shape_and_size
visual perceptual,bean,is_circular_round,12,shape_and_size
visual perceptual,bean,is_long,5,shape_and_size
visual perceptual,bear,is_big_large,17,shape_and_size
visual perceptual,beaver,is_small,5,shape_and_size
visual perceptual,bee,is_small,12,shape_and_size
visual perceptual,beetle,is_small,11,shape_and_size
visual perceptual,bell,is_big_large,5,shape_and_size
visual perceptual,belt,is_long,7,shape_and_size
visual perceptual,bench,is_long,6,shape_and_size
visual perceptual,bikini,is_small,9,shape_and_size
visual perceptual,bin,is_circular_round,8,shape_and_size
visual perceptual,birch,is_tall,11,shape_and_size
visual perceptual,blueberry,is_small,20,shape_and_size
visual perceptual,blueberry,is_circular_round,9,shape_and_size
visual perceptual,bolts,is_small,8,shape_and_size
visual perceptual,book,is_rectangular_square,5,shape_and_size
visual perceptual,bookcase,is_tall,10,shape_and_size
visual perceptual,bookcase,is_big_large,9,shape_and_size
visual perceptual,boots,is_long,5,shape_and_size
visual perceptual,bowl,is_circular_round,26,shape_and_size
visual perceptual,box,is_rectangular_square,10,shape_and_size
visual perceptual,bracelet,is_circular_round,8,shape_and_size
visual perceptual,brick,is_rectangular_square,10,shape_and_size
visual perceptual,bridge,is_tall,5,shape_and_size
visual perceptual,broom,is_long,11,shape_and_size
visual perceptual,bucket,is_circular_round,9,shape_and_size
visual perceptual,budgie,is_small,15,shape_and_size
visual perceptual,buffalo,is_big_large,13,shape_and_size
visual perceptual,bullet,is_small,15,shape_and_size
visual perceptual,bullet,is_circular_round,8,shape_and_size
visual perceptual,bus,is_big_large,12,shape_and_size
visual perceptual,buttercup,is_small,19,shape_and_size
visual perceptual,button,is_circular_round,19,shape_and_size
visual perceptual,button,is_small,13,shape_and_size
visual perceptual,buzzard,is_big_large,14,shape_and_size
visual perceptual,cabbage,is_circular_round,10,shape_and_size
visual perceptual,cage,is_small,6,shape_and_size
visual perceptual,cake,is_circular_round,6,shape_and_size
visual perceptual,calf,is_small,10,shape_and_size
visual perceptual,camel,is_big_large,5,shape_and_size
visual perceptual,camera,is_small,6,shape_and_size
visual perceptual,canary,is_small,15,shape_and_size
visual perceptual,candle,is_long,5,shape_and_size
visual perceptual,cannon,is_big_large,9,shape_and_size
visual perceptual,canoe,is_long,9,shape_and_size
visual perceptual,cap,is_circular_round,6,shape_and_size
visual perceptual,cap,is_flat,6,shape_and_size
visual perceptual,cape,is_long,7,shape_and_size
visual perceptual,cape,is_big_large,5,shape_and_size
visual perceptual,caravan,is_big_large,6,shape_and_size
visual perceptual,carp,is_big_large,13,shape_and_size
visual perceptual,carrot,is_long,11,shape_and_size
visual perceptual,castle,is_big_large,20,shape_and_size
visual perceptual,caterpillar,is_long,10,shape_and_size
visual perceptual,caterpillar,is_small,9,shape_and_size
visual perceptual,celery,is_long,14,shape_and_size
visual perceptual,celery,is_thin,7,shape_and_size
visual perceptual,cello,is_big_large,13,shape_and_size
visual perceptual,centipede,is_long,15,shape_and_size
visual perceptual,centipede,is_small,11,shape_and_size
visual perceptual,centipede,is_thin,5,shape_and_size
visual perceptual,chain,is_long,7,shape_and_size
visual perceptual,chandelier,is_big_large,8,shape_and_size
visual perceptual,cherry,is_small,14,shape_and_size
visual perceptual,cherry,is_circular_round,9,shape_and_size
visual perceptual,chestnut,is_circular_round,9,shape_and_size
visual perceptual,chestnut,is_small,9,shape_and_size
visual perceptual,chipmunk,is_small,21,shape_and_size
visual perceptual,chisel,is_small,5,shape_and_size
visual perceptual,cigar,is_long,5,shape_and_size
visual perceptual,cigarette,is_thin,8,shape_and_size
visual perceptual,cigarette,is_long,7,shape_and_size
visual perceptual,clam,is_small,6,shape_and_size
visual perceptual,clarinet,is_long,11,shape_and_size
visual perceptual,clarinet,is_thin,6,shape_and_size
visual perceptual,cloak,is_long,13,shape_and_size
visual perceptual,clock,is_circular_round,9,shape_and_size
visual perceptual,coat,is_long,9,shape_and_size
visual perceptual,cockroach,is_small,7,shape_and_size
visual perceptual,coconut,is_circular_round,6,shape_and_size
visual perceptual,coffin,is_long,5,shape_and_size
visual perceptual,coin,is_circular_round,17,shape_and_size
visual perceptual,coin,is_small,14,shape_and_size
visual perceptual,comb,is_small,9,shape_and_size
visual perceptual,cork,is_small,7,shape_and_size
visual perceptual,courgette,is_long,17,shape_and_size
visual perceptual,courgette,is_thin,5,shape_and_size
visual perceptual,cow,is_big_large,8,shape_and_size
visual perceptual,cradle,is_small,9,shape_and_size
visual perceptual,crayfish,is_small,5,shape_and_size
visual perceptual,cricket,is_small,12,shape_and_size
visual perceptual,crocodile,is_big_large,7,shape_and_size
visual perceptual,crowbar,is_long,10,shape_and_size
visual perceptual,crowbar,is_thin,5,shape_and_size
visual perceptual,cucumber,is_long,20,shape_and_size
visual perceptual,cup,is_circular_round,11,shape_and_size
visual perceptual,cup,is_small,5,shape_and_size
visual perceptual,cupboard,is_big_large,7,shape_and_size
visual perceptual,currant,is_small,19,shape_and_size
visual perceptual,currant,is_circular_round,7,shape_and_size
visual perceptual,cushion,is_rectangular_square,16,shape_and_size
visual perceptual,cymbal,is_circular_round,16,shape_and_size
visual perceptual,dagger,is_small,6,shape_and_size
visual perceptual,daisy,is_small,18,shape_and_size
visual perceptual,dates,is_small,9,shape_and_size
visual perceptual,dates,is_circular_round,5,shape_and_size
visual perceptual,desk,is_flat,18,shape_and_size
visual perceptual,dice,is_small,10,shape_and_size
visual perceptual,dictionary,is_big_large,6,shape_and_size
visual perceptual,dinghy,is_small,17,shape_and_size
visual perceptual,doll,is_small,8,shape_and_size
visual perceptual,doorknob,is_circular_round,15,shape_and_size
visual perceptual,doughnut,is_circular_round,18,shape_and_size
visual perceptual,dragonfly,is_small,8,shape_and_size
visual perceptual,dress,is_long,12,shape_and_size
visual perceptual,dresser,is_big_large,9,shape_and_size
visual perceptual,drum,is_big_large,8,shape_and_size
visual perceptual,drum,is_circular_round,8,shape_and_size
visual perceptual,drum,is_small,6,shape_and_size
visual perceptual,ear,is_small,5,shape_and_size
visual perceptual,eel,is_long,22,shape_and_size
visual perceptual,eel,is_thin,15,shape_and_size
visual perceptual,elephant,is_big_large,27,shape_and_size
visual perceptual,elm,is_tall,10,shape_and_size
visual perceptual,elm,is_big_large,6,shape_and_size
visual perceptual,emu,is_big_large,14,shape_and_size
visual perceptual,emu,is_tall,5,shape_and_size
visual perceptual,encyclopaedia,is_big_large,12,shape_and_size
visual perceptual,envelope,is_rectangular_square,11,shape_and_size
visual perceptual,eucalyptus,is_tall,5,shape_and_size
visual perceptual,eye,is_circular_round,12,shape_and_size
visual perceptual,falcon,is_big_large,5,shape_and_size
visual perceptual,fence,is_tall,10,shape_and_size
visual perceptual,ferry,is_big_large,20,shape_and_size
visual perceptual,finger,is_long,10,shape_and_size
visual perceptual,finger,is_thin,9,shape_and_size
visual perceptual,fir,is_tall,13,shape_and_size
visual perceptual,fir,is_big_large,6,shape_and_size
visual perceptual,flannel,is_rectangular_square,17,shape_and_size
visual perceptual,flannel,is_small,15,shape_and_size
visual perceptual,flea,is_small,21,shape_and_size
visual perceptual,flounder,is_flat,11,shape_and_size
visual perceptual,flute,is_long,16,shape_and_size
visual perceptual,flute,is_thin,7,shape_and_size
visual perceptual,football,is_circular_round,27,shape_and_size
visual perceptual,fridge,is_big_large,8,shape_and_size
visual perceptual,frisbee,is_circular_round,23,shape_and_size
visual perceptual,frisbee,is_flat,10,shape_and_size
visual perceptual,frog,is_small,5,shape_and_size
visual perceptual,garlic,is_small,5,shape_and_size
visual perceptual,gerbil,is_small,25,shape_and_size
visual perceptual,gherkin,is_long,6,shape_and_size
visual perceptual,gherkin,is_small,5,shape_and_size
visual perceptual,giraffe,is_tall,19,shape_and_size
visual perceptual,glider,is_big_large,5,shape_and_size
visual perceptual,goldfish,is_small,13,shape_and_size
visual perceptual,gong,is_circular_round,15,shape_and_size
visual perceptual,gong,is_big_large,10,shape_and_size
visual perceptual,goose,is_big_large,9,shape_and_size
visual perceptual,gorilla,is_big_large,15,shape_and_size
visual perceptual,gown,is_long,13,shape_and_size
visual perceptual,grape,is_small,13,shape_and_size
visual perceptual,grape,is_circular_round,6,shape_and_size
visual perceptual,grapefruit,is_circular_round,9,shape_and_size
visual perceptual,grasshopper,is_small,9,shape_and_size
visual perceptual,grenade,is_circular_round,6,shape_and_size
visual perceptual,grenade,is_small,6,shape_and_size
visual perceptual,hair,is_thin,22,shape_and_size
visual perceptual,hair,is_long,19,shape_and_size
visual perceptual,ham,is_thin,6,shape_and_size
visual perceptual,hamster,is_small,23,shape_and_size
visual perceptual,harmonica,is_small,15,shape_and_size
visual perceptual,harp,is_big_large,15,shape_and_size
visual perceptual,harpoon,is_long,13,shape_and_size
visual perceptual,hatchet,is_small,8,shape_and_size
visual perceptual,hawk,is_big_large,9,shape_and_size
visual perceptual,hedgehog,is_small,21,shape_and_size
visual perceptual,heron,is_big_large,7,shape_and_size
visual perceptual,heron,is_tall,7,shape_and_size
visual perceptual,herring,is_small,7,shape_and_size
visual perceptual,hippo,is_big_large,24,shape_and_size
visual perceptual,hoe,is_long,15,shape_and_size
visual perceptual,hook,is_circular_round,5,shape_and_size
visual perceptual,hornet,is_big_large,10,shape_and_size
visual perceptual,horse,is_big_large,9,shape_and_size
visual perceptual,hose,is_long,22,shape_and_size
visual perceptual,hose,is_thin,8,shape_and_size
visual perceptual,houseboat,is_long,8,shape_and_size
visual perceptual,houseboat,is_small,7,shape_and_size
visual perceptual,housefly,is_small,10,shape_and_size
visual perceptual,hummingbird,is_small,26,shape_and_size
visual perceptual,hutch,is_small,6,shape_and_size
visual perceptual,ibuprofen,is_small,7,shape_and_size
visual perceptual,iguana,is_big_large,8,shape_and_size
visual perceptual,jeep,is_big_large,9,shape_and_size
visual perceptual,jug,is_big_large,5,shape_and_size
visual perceptual,kayak,is_small,12,shape_and_size
visual perceptual,kayak,is_long,6,shape_and_size
visual perceptual,key,is_small,12,shape_and_size
visual perceptual,kingfisher,is_small,9,shape_and_size
visual perceptual,knickers,is_small,5,shape_and_size
visual perceptual,ladder,is_tall,14,shape_and_size
visual perceptual,ladder,is_long,10,shape_and_size
visual perceptual,ladybird,is_small,12,shape_and_size
visual perceptual,lamb,is_small,6,shape_and_size
visual perceptual,leek,is_long,15,shape_and_size
visual perceptual,leek,is_thin,12,shape_and_size
visual perceptual,leg,is_long,12,shape_and_size
visual perceptual,lemon,is_circular_round,12,shape_and_size
visual perceptual,lemon,is_small,5,shape_and_size
encyclopaedic,leopard,is_big_large,12,shape_and_size
visual perceptual,lily,is_big_large,6,shape_and_size
visual perceptual,lime,is_small,7,shape_and_size
visual perceptual,lime,is_circular_round,6,shape_and_size
visual perceptual,limousine,is_long,24,shape_and_size
visual perceptual,lion,is_big_large,15,shape_and_size
visual perceptual,lipstick,is_small,6,shape_and_size
visual perceptual,lizard,is_small,12,shape_and_size
visual perceptual,llama,is_big_large,5,shape_and_size
visual perceptual,llama,is_tall,5,shape_and_size
visual perceptual,locust,is_small,5,shape_and_size
visual perceptual,lorry,is_big_large,19,shape_and_size
visual perceptual,lorry,is_long,6,shape_and_size
visual perceptual,mackerel,is_small,7,shape_and_size
visual perceptual,magpie,is_small,5,shape_and_size
visual perceptual,mango,is_circular_round,7,shape_and_size
visual perceptual,marble,is_circular_round,18,shape_and_size
visual perceptual,marble,is_small,15,shape_and_size
visual perceptual,marigold,is_small,5,shape_and_size
visual perceptual,mat,is_flat,15,shape_and_size
visual perceptual,mat,is_rectangular_square,7,shape_and_size
visual perceptual,melon,is_big_large,14,shape_and_size
visual perceptual,melon,is_circular_round,13,shape_and_size
visual perceptual,microwave,is_rectangular_square,11,shape_and_size
visual perceptual,millipede,is_small,13,shape_and_size
visual perceptual,millipede,is_long,9,shape_and_size
visual perceptual,minnow,is_small,26,shape_and_size
visual perceptual,mirror,is_flat,5,shape_and_size
visual perceptual,moose,is_big_large,13,shape_and_size
visual perceptual,mop,is_long,9,shape_and_size
visual perceptual,moped,is_small,8,shape_and_size
visual perceptual,mosquito,is_small,13,shape_and_size
visual perceptual,mouse,is_small,28,shape_and_size
visual perceptual,nail,is_small,12,shape_and_size
visual perceptual,nail,is_thin,7,shape_and_size
visual perceptual,nail,is_long,6,shape_and_size
visual perceptual,napkin,is_rectangular_square,13,shape_and_size
visual perceptual,napkin,is_flat,5,shape_and_size
visual perceptual,necklace,is_circular_round,5,shape_and_size
visual perceptual,necklace,is_long,5,shape_and_size
visual perceptual,nectarine,is_circular_round,9,shape_and_size
visual perceptual,nectarine,is_small,6,shape_and_size
visual perceptual,needle,is_small,20,shape_and_size
visual perceptual,needle,is_thin,11,shape_and_size
visual perceptual,newspaper,is_flat,5,shape_and_size
visual perceptual,newspaper,is_thin,5,shape_and_size
visual perceptual,nightingale,is_small,17,shape_and_size
visual perceptual,nut,is_small,15,shape_and_size
