feature type,Concept,Feature,pf,attribute type
other perceptual,anchor,is_heavy,27,tactile
other perceptual,apple,is_juicy,7,tactile
other perceptual,armchair,is_soft,12,tactile
other perceptual,armchair,is_heavy,5,tactile
other perceptual,armour,is_heavy,13,tactile
other perceptual,armour,is_hard,6,tactile
other perceptual,arrow,is_sharp,17,tactile
other perceptual,ashtray,is_heavy,5,tactile
other perceptual,avocado,is_soft,13,tactile
other perceptual,axe,is_heavy,22,tactile
other perceptual,axe,is_sharp,17,tactile
other perceptual,balloon,is_light,7,tactile
other perceptual,banana,is_soft,5,tactile
other perceptual,barrel,is_heavy,5,tactile
other perceptual,basket,is_light,5,tactile
other perceptual,bayonet,is_sharp,20,tactile
other perceptual,bed,is_soft,11,tactile
other perceptual,bench,is_hard,6,tactile
other perceptual,blouse,is_light,6,tactile
other perceptual,blueberry,is_juicy,5,tactile
other perceptual,bookcase,is_heavy,5,tactile
other perceptual,boomerang,is_light,6,tactile
other perceptual,bread,is_soft,6,tactile
other perceptual,brick,is_heavy,21,tactile
other perceptual,brick,is_hard,13,tactile
other perceptual,bullet,is_hard,8,tactile
other perceptual,cake,is_soft,9,tactile
other perceptual,cannon,is_heavy,17,tactile
other perceptual,cart,is_heavy,5,tactile
other perceptual,catalogue,is_heavy,5,tactile
other perceptual,chain,is_heavy,8,tactile
other perceptual,chainsaw,is_sharp,16,tactile
other perceptual,chainsaw,is_heavy,5,tactile
other perceptual,chestnut,is_hard,6,tactile
other perceptual,chisel,is_sharp,18,tactile
other perceptual,club,is_heavy,17,tactile
other perceptual,club,is_hard,9,tactile
other perceptual,coconut,is_hard,19,tactile
other perceptual,coffin,is_heavy,6,tactile
other perceptual,courgette,is_soft,6,tactile
other perceptual,crowbar,is_heavy,14,tactile
other perceptual,cushion,is_soft,23,tactile
other perceptual,dagger,is_sharp,26,tactile
other perceptual,desk,is_hard,6,tactile
other perceptual,dictionary,is_heavy,7,tactile
other perceptual,earmuffs,is_soft,5,tactile
other perceptual,eel,is_slimy,11,tactile
other perceptual,elephant,is_heavy,6,tactile
other perceptual,encyclopaedia,is_heavy,7,tactile
other perceptual,flannel,is_soft,9,tactile
other perceptual,football,is_hard,6,tactile
other perceptual,football,is_light,6,tactile
other perceptual,fork,is_sharp,5,tactile
other perceptual,frisbee,is_light,6,tactile
other perceptual,frog,is_slimy,15,tactile
other perceptual,glider,is_light,6,tactile
other perceptual,gong,is_heavy,5,tactile
other perceptual,grape,is_juicy,7,tactile
other perceptual,grapefruit,is_juicy,12,tactile
other perceptual,grater,is_sharp,20,tactile
other perceptual,hammer,is_heavy,13,tactile
other perceptual,hammer,is_hard,5,tactile
other perceptual,harpoon,is_sharp,22,tactile
other perceptual,hatchet,is_sharp,19,tactile
other perceptual,hatchet,is_heavy,8,tactile
other perceptual,helmet,is_hard,9,tactile
other perceptual,hippo,is_heavy,9,tactile
other perceptual,hoe,is_sharp,8,tactile
other perceptual,hook,is_sharp,17,tactile
other perceptual,jellyfish,is_soft,6,tactile
other perceptual,kayak,is_light,5,tactile
other perceptual,kite,is_light,7,tactile
other perceptual,knife,is_sharp,26,tactile
other perceptual,lemon,is_juicy,5,tactile
other perceptual,lime,is_juicy,12,tactile
other perceptual,lips,is_soft,10,tactile
other perceptual,lorry,is_heavy,5,tactile
other perceptual,machete,is_sharp,21,tactile
other perceptual,mango,is_juicy,5,tactile
other perceptual,mango,is_soft,5,tactile
other perceptual,marble,is_hard,8,tactile
other perceptual,melon,is_juicy,18,tactile
other perceptual,melon,is_hard,7,tactile
other perceptual,melon,is_soft,6,tactile
other perceptual,moss,is_soft,9,tactile
other perceptual,nail,is_sharp,19,tactile
other perceptual,nail,is_hard,5,tactile
other perceptual,nectarine,is_juicy,10,tactile
other perceptual,nectarine,is_soft,5,tactile
other perceptual,needle,is_sharp,25,tactile
other perceptual,nut,is_hard,16,tactile
other perceptual,octopus,is_slimy,6,tactile
other perceptual,orange,is_juicy,6,tactile
other perceptual,oyster,is_slimy,10,tactile
other perceptual,oyster,is_hard,5,tactile
other perceptual,pamphlet,is_light,5,tactile
other perceptual,peach,is_juicy,12,tactile
other perceptual,peach,is_soft,12,tactile
other perceptual,pear,is_juicy,7,tactile
other perceptual,pear,is_hard,5,tactile
other perceptual,peeler,is_sharp,19,tactile
other perceptual,pencil,is_sharp,6,tactile
other perceptual,pencil,is_soft,5,tactile
other perceptual,penknife,is_sharp,22,tactile
other perceptual,piano,is_heavy,6,tactile
other perceptual,pillow,is_soft,24,tactile
other perceptual,pin,is_sharp,28,tactile
other perceptual,pineapple,is_juicy,10,tactile
other perceptual,plum,is_juicy,9,tactile
other perceptual,pyjamas,is_soft,8,tactile
other perceptual,rabbit,is_soft,5,tactile
other perceptual,rake,is_sharp,6,tactile
other perceptual,raspberry,is_juicy,9,tactile
other perceptual,razor,is_sharp,26,tactile
other perceptual,rhino,is_heavy,5,tactile
other perceptual,rock,is_hard,22,tactile
other perceptual,rock,is_heavy,13,tactile
other perceptual,satsuma,is_juicy,17,tactile
other perceptual,saw,is_sharp,21,tactile
other perceptual,scallop,is_slimy,6,tactile
other perceptual,scallop,is_soft,5,tactile
other perceptual,scalpel,is_sharp,28,tactile
other perceptual,scissors,is_sharp,21,tactile
other perceptual,screw,is_sharp,8,tactile
other perceptual,scythe,is_sharp,21,tactile
other perceptual,seashell,is_hard,12,tactile
other perceptual,seaweed,is_slimy,16,tactile
other perceptual,shield,is_hard,7,tactile
other perceptual,shield,is_heavy,5,tactile
other perceptual,shotgun,is_heavy,6,tactile
other perceptual,shovel,is_heavy,10,tactile
other perceptual,slippers,is_soft,8,tactile
other perceptual,slug,is_slimy,24,tactile
other perceptual,snail,is_slimy,23,tactile
other perceptual,sofa,is_soft,9,tactile
other perceptual,spade,is_heavy,7,tactile
other perceptual,spear,is_sharp,19,tactile
other perceptual,squid,is_slimy,5,tactile
other perceptual,stone,is_hard,21,tactile
other perceptual,stone,is_heavy,14,tactile
other perceptual,strawberry,is_juicy,11,tactile
other perceptual,sword,is_sharp,25,tactile
other perceptual,sword,is_heavy,13,tactile
other perceptual,syringe,is_sharp,9,tactile
other perceptual,tambourine,is_light,6,tactile
other perceptual,tangerine,is_juicy,11,tactile
other perceptual,tank,is_heavy,9,tactile
other perceptual,tent,is_light,6,tactile
other perceptual,textbook,is_heavy,6,tactile
other perceptual,thimble,is_hard,6,tactile
other perceptual,throne,is_heavy,7,tactile
other perceptual,toad,is_slimy,10,tactile
other perceptual,tomato,is_juicy,11,tactile
other perceptual,tomato,is_soft,6,tactile
other perceptual,trowel,is_sharp,5,tactile
other perceptual,truck,is_heavy,9,tactile
other perceptual,tuba,is_heavy,8,tactile
other perceptual,turnip,is_hard,5,tactile
other perceptual,tweezers,is_sharp,11,tactile
other perceptual,typewriter,is_heavy,10,tactile
other perceptual,umbrella,is_light,5,tactile
other perceptual,veil,is_light,6,tactile
other perceptual,walrus,is_heavy,5,tactile
other perceptual,watermelon,is_juicy,20,tactile
other perceptual,worm,is_slimy,10,tactile
visual perceptual,beer,is_liquid,6,tactile
visual perceptual,brandy,is_liquid,7,tactile
visual perceptual,coffee,is_liquid,7,tactile
visual perceptual,eye,is_liquid,5,tactile
