Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
ambulance,has_wheels,external_component,e,ce,visual-form_and_surface,8,9,124.0,11,ND,0.091,0.065,46.96,15.21,12,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.0,2,7,7,1,4,3,1,0,0,0,1,2
axe,has_a_handle,external_component,e,ce,visual-form_and_surface,23,3,508.0,42,ND,0.024,0.045,65.34,47.12,12,&,25,3.22,1226,7.11,4.6,3,3,1,0.0,0.0,8,16,14,5,35.7,0.34,0.355,245.12,12,33,6,0,5,0,0,0,0,2,1,2
barn,has_doors,external_component,e,ce,visual-form_and_surface,6,14,163.0,15,ND,0.067,0.037,30.4,30.4,9,b,33,3.5,1600,7.38,5.6,4,3,1,1518.6,65.03,12,17,16,8,50.0,0.542,0.543,42.15,2,7,6,0,6,1,0,0,1,0,2,1
basket,has_a_handle,external_component,e,ce,visual-form_and_surface,17,3,508.0,42,ND,0.024,0.033,0.0,0.0,12,b,19,2.94,1830,7.51,6.9,6,6,2,933.52,108.46,2,9,9,6,66.7,0.679,0.684,0.0,0,0,4,0,3,0,0,0,0,0,2,0
beets,has_leaves,external_component,e,ce,visual-form_and_surface,6,10,157.0,15,ND,0.067,0.038,44.56,27.3,10,b,2,0.69,133,4.89,5.5,5,4,1,963.76,44.64,4,15,13,3,23.1,0.222,0.203,149.46,10,22,4,0,2,2,0,0,0,1,4,2
bench,has_legs,external_component,e,ce,visual-form_and_surface,5,10,468.0,49,ND,0.02,0.011,0.0,0.0,10,b,43,3.76,2605,7.87,7.6,5,4,1,1893.63,86.74,5,11,11,4,36.4,0.34,0.334,0.0,0,0,2,0,5,1,0,0,0,1,2,0
bike,has_wheels,external_component,e,ce,visual-form_and_surface,29,1,416.0,23,ND,0.043,0.07,100.43,100.43,10,b,1,0.0,2267,7.73,7.7,4,3,1,2070.95,1018.99,8,20,18,9,50.0,0.482,0.506,369.19,20,56,4,1,11,0,0,0,0,0,2,2
birch,has_leaves,external_component,e,ce,visual-form_and_surface,13,3,157.0,15,ND,0.067,0.083,88.66,67.2,10,b,3,1.1,469,6.15,5.5,5,3,1,1666.7,75.27,2,10,9,3,33.3,0.439,0.469,238.05,9,60,1,0,4,1,0,0,0,0,3,1
broccoli,has_leaves,external_component,e,ce,visual-form_and_surface,7,9,157.0,15,ND,0.067,0.045,62.91,45.65,10,b,1,0.0,134,4.9,7.55,8,7,3,309.85,17.17,0,12,11,2,18.2,0.218,0.23,286.51,17,47,3,0,3,1,0,1,0,0,3,1
broom,has_a_handle,external_component,e,ce,visual-form_and_surface,22,1,508.0,42,ND,0.024,0.043,16.75,16.75,12,b,2,0.69,391,5.97,7.65,5,4,1,867.4,108.06,4,13,13,7,53.8,0.546,0.556,55.94,3,20,5,0,6,0,0,0,0,0,2,0
brush,has_a_handle,external_component,e,ce,visual-form_and_surface,14,2,508.0,42,ND,0.024,0.028,16.75,16.75,12,b,6,1.79,2448,7.8,8.7,5,4,1,638.39,55.64,3,12,12,5,41.7,0.444,0.408,55.94,3,14,6,0,4,0,0,0,0,0,2,0
bucket,has_a_handle,external_component,e,ce,visual-form_and_surface,22,1,508.0,42,ND,0.024,0.043,0.0,0.0,12,b,11,2.4,1404,7.25,6.55,6,5,2,885.63,225.09,1,7,7,0,0.0,0.085,0.082,27.3,3,14,3,0,4,0,0,0,0,0,0,0
buffalo,has_legs,external_component,e,ce,visual-form_and_surface,15,4,468.0,49,ND,0.02,0.032,91.67,24.93,10,b,17,2.83,366,5.9,3.5,7,6,3,128.94,12.82,0,15,13,2,15.4,0.194,0.182,106.27,9,16,2,2,4,1,0,0,0,1,3,2
building,has_doors,external_component,e,ce,visual-form_and_surface,9,4,163.0,15,ND,0.067,0.055,0.0,0.0,9,b,236,5.46,25691,10.15,8.35,8,6,2,1943.85,1159.52,0,15,15,2,13.3,0.266,0.252,298.33,14,18,3,0,11,0,0,0,0,0,1,0
cabbage,has_leaves,external_component,e,ce,visual-form_and_surface,17,3,157.0,15,ND,0.067,0.108,82.1,64.84,10,k,4,1.39,500,6.21,5.6,7,5,2,429.35,134.91,0,16,15,3,20.0,0.266,0.261,327.84,24,36,6,0,2,2,0,0,1,0,4,1
cabinet,has_doors,external_component,e,ce,visual-form_and_surface,14,3,163.0,15,ND,0.067,0.086,52.75,52.75,9,k,22,3.09,6902,8.84,8.35,7,7,3,457.82,77.06,0,10,9,1,11.1,0.141,0.095,125.88,8,29,2,0,5,0,0,0,0,0,2,1
