Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
airplane,is_large,external_surface_property,e,se,visual-form_and_surface,8,7,1076.0,106,ND,0.009,0.007,0.0,0.0,8,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.3,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
alligator,is_long,external_surface_property,e,se,visual-form_and_surface,14,4,844.0,81,ND,0.012,0.017,0.0,0.0,7,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
ambulance,is_large,external_surface_property,e,se,visual-form_and_surface,6,13,1076.0,106,ND,0.009,0.006,0.0,0.0,8,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.0,2,7,7,1,4,3,1,0,0,0,1,2
anchor,is_large,external_surface_property,e,se,visual-form_and_surface,6,9,1076.0,106,ND,0.009,0.006,0.0,0.0,8,&,17,2.83,700,6.55,3.85,6,5,2,336.5,22.85,0,14,13,9,69.2,0.684,0.71,16.2,1,17,3,0,3,0,0,0,0,1,6,1
ant,is_small,external_surface_property,e,se,visual-form_and_surface,18,1,1229.0,121,ND,0.008,0.015,0.0,0.0,8,&,13,2.56,1012,6.92,7.55,3,3,1,0.0,0.0,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
apartment,is_small,external_surface_property,e,se,visual-form_and_surface,11,5,1229.0,121,ND,0.008,0.009,0.0,0.0,8,@,98,4.58,1948,7.57,7.8,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.6,4,40,1,0,8,0,0,0,0,0,8,1
apple,is_round,external_surface_property,e,se,visual-form_and_surface,8,10,823.0,76,ND,0.013,0.01,39.81,29.42,8,&,15,2.71,3512,8.16,8.3,5,3,2,564.29,54.68,2,19,17,4,23.5,0.226,0.223,396.27,21,27,2,0,4,3,0,3,0,2,3,2
apron,is_long,external_surface_property,e,se,visual-form_and_surface,5,10,844.0,81,ND,0.012,0.006,0.0,0.0,7,eI,8,2.08,573,6.35,4.75,5,5,2,161.65,10.17,0,13,13,4,30.8,0.352,0.33,26.39,2,6,8,0,4,0,0,0,0,0,1,0
ashtray,is_round,external_surface_property,e,se,visual-form_and_surface,8,8,823.0,76,ND,0.013,0.01,0.0,0.0,8,&,1,0.0,324,5.78,5.6,7,5,2,325.76,38.62,0,11,11,5,45.5,0.442,0.436,0.0,0,0,4,0,5,0,0,0,1,0,1,0
asparagus,is_long,external_surface_property,e,se,visual-form_and_surface,14,3,844.0,81,ND,0.012,0.017,0.0,0.0,7,@,1,0.0,116,4.75,5.85,9,9,4,221.07,22.18,0,9,8,0,0.0,0.129,0.113,171.4,15,54,3,0,1,1,0,1,0,0,2,1
ball,is_round,external_surface_property,e,se,visual-form_and_surface,17,2,823.0,76,ND,0.013,0.021,7.95,7.95,8,b,123,4.81,9107,9.12,8.35,4,3,1,3261.22,442.52,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0
banjo,is_round,external_surface_property,e,se,visual-form_and_surface,8,7,823.0,76,ND,0.013,0.01,0.0,0.0,8,b,2,0.69,49,3.89,3.15,5,5,2,354.46,21.93,0,12,11,3,27.3,0.358,0.344,76.35,3,11,4,0,4,0,2,0,0,0,1,1
