feature type,Concept,Feature,pf,attribute type
visual perceptual,alligator,is_green,16,color
visual perceptual,ambulance,is_white,9,color
visual perceptual,artichoke,is_green,19,color
visual perceptual,asparagus,is_green,26,color
visual perceptual,aspirin,is_white,16,color
visual perceptual,avocado,is_green,28,color
visual perceptual,basin,is_white,6,color
visual perceptual,bath,is_white,7,color
visual perceptual,bean,is_green,15,color
visual perceptual,beaver,is_brown,12,color
visual perceptual,beetle,is_black,12,color
visual perceptual,broccoli,is_green,30,color
visual perceptual,budgie,is_yellow,5,color
visual perceptual,buffalo,is_brown,10,color
visual perceptual,butter,is_yellow,25,color
visual perceptual,buttercup,is_yellow,28,color
visual perceptual,buzzard,is_brown,12,color
visual perceptual,camel,is_brown,7,color
visual perceptual,canary,is_yellow,25,color
visual perceptual,candle,is_white,5,color
visual perceptual,caterpillar,is_green,12,color
visual perceptual,cauliflower,is_white,27,color
visual perceptual,celery,is_green,27,color
visual perceptual,centipede,is_brown,9,color
visual perceptual,champagne,is_yellow,8,color
visual perceptual,cheese,is_yellow,11,color
visual perceptual,cheetah,is_yellow,5,color
visual perceptual,chestnut,is_brown,19,color
visual perceptual,chipmunk,is_brown,11,color
visual perceptual,cider,is_yellow,9,color
visual perceptual,cigar,is_brown,13,color
visual perceptual,clarinet,is_black,11,color
visual perceptual,cloak,is_black,7,color
visual perceptual,cod,is_white,10,color
visual perceptual,codeine,is_white,7,color
visual perceptual,cork,is_brown,8,color
visual perceptual,corn,is_yellow,20,color
visual perceptual,cricket,is_green,16,color
visual perceptual,crocodile,is_green,17,color
visual perceptual,cucumber,is_green,30,color
visual perceptual,daffodil,is_yellow,27,color
visual perceptual,dates,is_brown,12,color
visual perceptual,deer,is_brown,11,color
visual perceptual,dice,is_white,7,color
visual perceptual,dishwasher,is_white,6,color
visual perceptual,dove,is_white,26,color
visual perceptual,elm,is_green,7,color
visual perceptual,eucalyptus,is_green,8,color
visual perceptual,fern,is_green,29,color
visual perceptual,fir,is_green,18,color
visual perceptual,flea,is_black,7,color
visual perceptual,fridge,is_white,11,color
visual perceptual,frog,is_green,17,color
visual perceptual,garlic,is_white,16,color
visual perceptual,gherkin,is_green,30,color
visual perceptual,glue,is_white,10,color
visual perceptual,goose,is_white,17,color
visual perceptual,gorilla,is_black,13,color
visual perceptual,gown,is_black,6,color
visual perceptual,grasshopper,is_green,27,color
visual perceptual,hawk,is_brown,5,color
visual perceptual,hedgehog,is_brown,11,color
visual perceptual,hose,is_green,9,color
visual perceptual,housefly,is_black,10,color
visual perceptual,ibuprofen,is_white,13,color
visual perceptual,iguana,is_green,15,color
visual perceptual,jeep,is_green,5,color
visual perceptual,kangaroo,is_brown,6,color
visual perceptual,lamb,is_white,12,color
visual perceptual,lantern,is_black,5,color
visual perceptual,lemon,is_yellow,28,color
visual perceptual,lettuce,is_green,27,color
visual perceptual,lily,is_white,15,color
visual perceptual,lime,is_green,30,color
visual perceptual,lizard,is_green,10,color
visual perceptual,mayonnaise,is_white,18,color
visual perceptual,milk,is_white,25,color
visual perceptual,millipede,is_black,6,color
visual perceptual,monkey,is_brown,7,color
visual perceptual,moose,is_brown,12,color
visual perceptual,moss,is_green,29,color
visual perceptual,moth,is_brown,6,color
visual perceptual,mussel,is_black,11,color
visual perceptual,napkin,is_white,10,color
visual perceptual,nightingale,is_brown,5,color
visual perceptual,nut,is_brown,11,color
visual perceptual,otter,is_brown,15,color
visual perceptual,owl,is_white,5,color
visual perceptual,ox,is_brown,7,color
visual perceptual,pansy,is_yellow,5,color
visual perceptual,panther,is_black,28,color
visual perceptual,parka,is_green,7,color
visual perceptual,parsley,is_green,26,color
visual perceptual,peanut,is_brown,12,color
visual perceptual,pear,is_green,22,color
visual perceptual,peas,is_green,30,color
visual perceptual,piano,is_black,7,color
visual perceptual,pillow,is_white,8,color
visual perceptual,platypus,is_brown,5,color
visual perceptual,pyramid,is_yellow,5,color
visual perceptual,raven,is_black,27,color
visual perceptual,recorder,is_black,5,color
visual perceptual,rope,is_brown,6,color
visual perceptual,sandpaper,is_yellow,7,color
visual perceptual,satchel,is_brown,6,color
visual perceptual,scallop,is_white,6,color
visual perceptual,scorpion,is_black,10,color
visual perceptual,sink,is_white,7,color
visual perceptual,sparrow,is_brown,18,color
visual perceptual,spider,is_black,7,color
visual perceptual,spinach,is_green,26,color
visual perceptual,stick,is_brown,8,color
visual perceptual,stockings,is_black,6,color
visual perceptual,suit,is_black,7,color
visual perceptual,sultana,is_brown,10,color
visual perceptual,swan,is_white,28,color
visual perceptual,sycamore,is_green,10,color
visual perceptual,tank,is_green,5,color
visual perceptual,tarantula,is_black,6,color
visual perceptual,tea,is_brown,10,color
visual perceptual,termite,is_brown,5,color
visual perceptual,tights,is_black,8,color
visual perceptual,tobacco,is_brown,8,color
visual perceptual,toilet,is_white,6,color
visual perceptual,tortoise,is_green,9,color
visual perceptual,turtle,is_green,10,color
visual perceptual,tyre,is_black,15,color
visual perceptual,van,is_white,11,color
visual perceptual,veil,is_white,9,color
visual perceptual,wetsuit,is_black,8,color
visual perceptual,willow,is_green,9,color
visual perceptual,wren,is_brown,8,color
visual perceptual,yoghurt,is_white,11,color
