,Unnamed: 0,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax,Concept,Feature
0,0,external_surface_property,e,se,visual-colour,19,2,834.0,47,ND,0.021,0.023,0.0,0.0,8,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2,caimán,verde
1,1,external_surface_property,e,se,visual-colour,25,2,834.0,47,ND,0.021,0.03,74.83,51.42,8,@,1,0.0,116,4.75,5.85,9,9,4,221.07,22.18,0,9,8,0,0.0,0.129,0.113,171.4,15,54,3,0,1,1,0,1,0,0,2,1,espárragos,verde
2,2,external_surface_property,e,se,visual-colour,19,1,834.0,47,ND,0.021,0.023,30.51,7.1,8,&,16,2.77,130,4.87,3.7,7,7,4,148.24,7.69,0,10,8,3,37.5,0.331,0.332,31.59,2,20,2,0,2,1,0,1,0,1,1,2,aguacate,verde
3,3,external_surface_property,e,se,visual-colour,12,7,382.0,26,ND,0.038,0.031,0.0,0.0,6,b,33,3.5,1600,7.38,5.6,4,3,1,1518.6,65.03,12,17,16,8,50.0,0.542,0.543,42.15,2,7,6,0,6,1,0,0,1,0,2,1,granero,rojo
4,4,external_surface_property,e,se,visual-colour,8,4,480.0,54,ND,0.019,0.017,0.0,0.0,8,b,32,3.47,1438,7.27,5.05,6,5,2,663.07,72.16,3,11,10,4,40.0,0.378,0.357,11.75,1,7,4,0,5,1,0,0,0,0,0,1,barril,marrón
5,5,external_surface_property,e,se,visual-colour,16,4,607.0,50,ND,0.02,0.026,0.0,0.0,8,b,24,3.18,1578,7.36,4.25,3,3,1,0.0,0.0,22,16,14,6,42.9,0.502,0.508,135.94,5,18,0,1,4,1,1,0,0,0,7,2,murciélago,negro
6,6,external_surface_property,e,se,visual-colour,9,4,634.0,51,ND,0.02,0.014,0.0,0.0,8,b,5,1.61,33,3.5,8.05,7,6,2,428.51,22.23,0,16,16,8,50.0,0.434,0.385,156.19,3,11,7,0,3,1,0,0,0,1,4,0,bañera,blanco
7,7,external_surface_property,e,se,visual-colour,19,5,480.0,54,ND,0.019,0.04,30.15,6.86,8,b,3,1.1,220,5.39,4.05,6,5,2,2620.17,165.15,4,15,13,6,46.2,0.502,0.531,119.69,6,29,1,2,2,1,0,0,0,1,6,2,castor,marrón
8,8,external_surface_property,e,se,visual-colour,7,5,345.0,27,ND,0.037,0.02,0.0,0.0,9,b,1,0.0,92,4.52,5.1,7,5,2,894.19,44.66,0,8,8,6,75.0,0.758,0.757,0.0,0,0,2,0,1,1,0,0,0,0,4,0,colmena,amarillo
9,9,external_surface_property,e,se,visual-colour,11,2,607.0,50,ND,0.02,0.018,0.0,0.0,8,b,1,0.0,556,6.32,4.2,6,4,2,1984.85,344.35,0,13,11,0,0.0,0.056,0.046,99.86,3,5,0,2,6,1,0,0,0,1,1,2,escarabajo,negro
10,10,external_surface_property,e,se,visual-colour,19,2,382.0,26,ND,0.038,0.05,0.0,0.0,6,b,2,0.69,133,4.89,5.5,5,4,1,963.76,44.64,4,15,13,3,23.1,0.222,0.203,149.46,10,22,4,0,2,2,0,0,0,1,4,2,remolacha,rojo
11,11,external_surface_property,e,se,visual-colour,18,1,634.0,51,ND,0.02,0.028,0.0,0.0,8,b,3,1.1,469,6.15,5.5,5,3,1,1666.7,75.27,2,10,9,3,33.3,0.439,0.469,238.05,9,60,1,0,4,1,0,0,0,0,3,1,abedul,blanco
12,12,external_surface_property,e,se,visual-colour,10,4,480.0,54,ND,0.019,0.021,30.15,6.86,8,b,1,0.0,52,3.95,2.75,5,4,2,204.59,5.24,0,10,8,2,25.0,0.314,0.311,81.34,6,40,2,1,1,1,0,0,0,1,2,2,bisonte,marrón
13,13,external_surface_property,e,se,visual-colour,13,7,607.0,50,ND,0.02,0.021,0.0,0.0,8,b,1,0.0,300,5.7,3.75,9,7,2,81.32,14.26,0,12,10,0,0.0,0.084,0.069,778.95,27,60,0,2,3,1,2,0,0,0,2,2,mirlo,negro
14,14,external_surface_property,e,se,visual-colour,7,9,834.0,47,ND,0.021,0.008,0.0,0.0,8,b,91,4.51,6002,8.7,8.35,6,4,2,1977.1,752.72,1,15,14,5,35.7,0.404,0.422,232.86,12,33,5,0,5,2,0,0,0,0,2,1,botella,verde
15,15,external_surface_property,e,se,visual-colour,9,5,382.0,26,ND,0.038,0.024,0.0,0.0,6,b,18,2.89,1918,7.56,6.35,3,2,1,0.0,0.0,18,8,8,4,50.0,0.453,0.439,0.0,0,0,3,0,2,2,0,0,0,0,1,0,lazo,rojo
16,16,external_surface_property,e,se,visual-colour,5,13,480.0,54,ND,0.019,0.01,0.0,0.0,8,b,84,4.43,11653,9.36,7.8,3,4,1,0.0,0.0,11,14,13,4,30.8,0.364,0.378,48.58,4,11,2,0,10,1,0,0,0,0,0,1,caja,marrón
17,17,external_surface_property,e,se,visual-colour,14,3,382.0,26,ND,0.038,0.037,0.0,0.0,6,b,24,3.18,2832,7.95,7.4,5,4,1,1915.54,235.6,5,9,9,2,22.2,0.258,0.282,0.0,0,0,2,0,2,2,0,0,0,3,0,0,ladrillo,rojo
18,18,external_surface_property,e,se,visual-colour,29,1,834.0,47,ND,0.021,0.035,82.3,58.89,8,b,1,0.0,134,4.9,7.55,8,7,3,309.85,17.17,0,12,11,2,18.2,0.218,0.23,286.51,17,47,3,0,3,1,0,1,0,0,3,1,brócoli,verde
19,19,external_surface_property,e,se,visual-colour,5,15,834.0,47,ND,0.021,0.006,0.0,0.0,8,b,1,0.0,143,4.96,4.4,6,4,2,149.88,27.01,0,17,15,1,6.7,0.116,0.105,586.13,24,26,0,3,3,4,4,0,0,0,1,2,periquito,verde
20,20,external_surface_property,e,se,visual-colour,10,5,480.0,54,ND,0.019,0.021,30.15,6.86,8,b,17,2.83,366,5.9,3.5,7,6,3,128.94,12.82,0,15,13,2,15.4,0.194,0.182,106.27,9,16,2,2,4,1,0,0,0,1,3,2,búfalo,marrón
21,21,external_surface_property,e,se,visual-colour,6,13,345.0,27,ND,0.037,0.017,0.0,0.0,9,b,40,3.69,6932,8.84,8.35,3,3,1,0.0,0.0,7,17,16,5,31.3,0.343,0.344,187.91,10,18,4,0,8,1,1,0,0,0,2,1,autobús,amarillo
22,22,external_surface_property,e,se,visual-colour,10,5,607.0,50,ND,0.02,0.016,0.0,0.0,8,b,1,0.0,236,5.46,2.2,7,5,2,194.55,55.64,0,14,11,1,9.1,0.102,0.08,372.2,10,22,0,3,5,1,0,0,0,0,2,3,aura,negro
23,23,external_surface_property,e,se,visual-colour,13,4,480.0,54,ND,0.019,0.027,23.29,0.0,8,k,2,0.69,599,6.4,2.4,5,4,2,747.25,79.42,1,15,13,7,53.8,0.53,0.562,7.22,1,7,2,2,4,2,0,0,0,0,3,2,camello,marrón
24,24,external_surface_property,e,se,visual-colour,9,5,634.0,51,ND,0.02,0.014,0.0,0.0,8,k,1,0.0,31,3.43,4.2,8,7,3,404.65,44.69,0,18,15,6,40.0,0.371,0.353,214.92,12,33,3,0,7,1,0,0,0,2,2,3,camisola,blanco
25,25,external_surface_property,e,se,visual-colour,28,1,345.0,27,ND,0.037,0.081,0.0,0.0,9,k,1,0.0,372,5.92,3.65,6,6,3,739.32,123.94,1,15,13,0,0.0,0.105,0.105,733.94,25,32,0,3,6,1,2,0,0,0,1,2,canario,amarillo
