,Unnamed: 0,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax,Concept,Feature
0,0,made_of,e,m,visual-form_and_surface,8,7,1472.0,133,ND,0.008,0.005,0.0,0.0,13,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.3,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0,avión,métal
1,1,made_of,e,m,visual-form_and_surface,21,2,1472.0,133,ND,0.008,0.014,0.0,0.0,13,&,17,2.83,700,6.55,3.85,6,5,2,336.5,22.85,0,14,13,9,69.2,0.684,0.71,16.2,1,17,3,0,3,0,0,0,0,1,6,1,ancla,métal
2,2,made_of,e,m,visual-form_and_surface,6,8,88.0,12,ND,0.083,0.068,10.61,10.61,14,eI,8,2.08,573,6.35,4.75,5,5,2,161.65,10.17,0,13,13,4,30.8,0.352,0.33,26.39,2,6,8,0,4,0,0,0,0,0,1,0,delantal,algodón
3,3,made_of,e,m,visual-form_and_surface,24,2,1472.0,133,ND,0.008,0.016,9.25,9.25,13,A:,2,0.69,897,6.8,2.45,6,4,2,523.75,155.26,2,11,11,3,27.3,0.378,0.387,53.89,5,18,4,0,2,1,0,0,0,1,3,0,armadura,métal
4,4,made_of,e,m,visual-form_and_surface,18,3,1091.0,79,ND,0.013,0.016,0.0,0.0,12,b,2,0.69,49,3.89,3.15,5,5,2,354.46,21.93,0,12,11,3,27.3,0.358,0.344,76.35,3,11,4,0,4,0,2,0,0,0,1,1,banyo,madera
5,5,made_of,e,m,visual-form_and_surface,22,4,1091.0,79,ND,0.013,0.02,11.75,11.75,12,b,33,3.5,1600,7.38,5.6,4,3,1,1518.6,65.03,12,17,16,8,50.0,0.542,0.543,42.15,2,7,6,0,6,1,0,0,1,0,2,1,granero,madera
6,6,made_of,e,m,visual-form_and_surface,27,1,1091.0,79,ND,0.013,0.025,11.75,11.75,12,b,32,3.47,1438,7.27,5.05,6,5,2,663.07,72.16,3,11,10,4,40.0,0.378,0.357,11.75,1,7,4,0,5,1,0,0,0,0,0,1,barril,madera
7,7,made_of,e,m,visual-form_and_surface,9,5,1091.0,79,ND,0.013,0.008,0.0,0.0,12,b,19,2.94,1830,7.51,6.9,6,6,2,933.52,108.46,2,9,9,6,66.7,0.679,0.684,0.0,0,0,4,0,3,0,0,0,0,0,2,0,cesta,madera
8,8,made_of,e,m,visual-form_and_surface,8,5,1472.0,133,ND,0.008,0.005,0.0,0.0,13,b,1,0.0,23,3.14,2.05,7,6,3,88.36,0.84,0,11,9,0,0.0,0.119,0.088,152.89,10,28,3,0,2,0,2,0,0,0,2,2,bazuca,métal
9,9,made_of,e,m,visual-form_and_surface,28,1,206.0,13,ND,0.077,0.136,0.0,0.0,15,b,37,3.61,2695,7.9,7.95,4,4,1,2427.84,248.32,10,13,11,5,45.5,0.409,0.451,29.39,2,13,4,0,6,0,0,0,0,0,1,2,cinturón,cuero
10,10,made_of,e,m,visual-form_and_surface,5,14,1472.0,133,ND,0.008,0.003,0.0,0.0,13,b,1,0.0,2267,7.73,7.7,4,3,1,2070.95,1018.99,8,20,18,9,50.0,0.482,0.506,369.19,20,56,4,1,11,0,0,0,0,0,2,2,bici,métal
11,11,made_of,e,m,visual-form_and_surface,8,9,88.0,12,ND,0.083,0.091,162.28,136.25,14,b,2,0.69,644,6.47,7.25,6,4,1,1091.18,73.18,0,15,13,3,23.1,0.203,0.219,421.15,21,47,2,0,6,1,0,0,0,1,3,2,blusa,algodón
12,12,made_of,e,m,visual-form_and_surface,20,1,1091.0,79,ND,0.013,0.018,0.0,0.0,12,b,286,5.66,18317,9.82,5.95,5,3,1,1070.84,221.31,3,13,13,7,53.8,0.407,0.396,0.0,0,0,5,0,3,1,0,0,0,1,3,0,pizarra,madera
13,13,made_of,e,m,visual-form_and_surface,13,4,1091.0,79,ND,0.013,0.012,0.0,0.0,12,b,123,4.81,7391,8.91,6.55,4,3,1,5962.28,89.92,9,10,10,3,30.0,0.224,0.243,35.46,3,14,3,1,4,0,0,0,0,0,2,0,barca,madera
14,14,made_of,e,m,visual-form_and_surface,17,2,1472.0,133,ND,0.008,0.012,0.0,0.0,13,b,11,2.4,1323,7.19,4.9,5,5,1,513.14,12.43,8,13,12,4,33.3,0.338,0.3,122.17,7,25,5,0,5,0,0,0,0,0,2,1,pernos,métal
15,15,made_of,e,m,visual-form_and_surface,20,1,206.0,13,ND,0.077,0.097,102.47,102.47,15,b,33,3.5,4731,8.46,8.1,5,4,1,718.72,147.49,11,21,19,3,15.8,0.249,0.224,665.47,28,23,8,0,7,2,0,0,0,0,2,2,bota,cuero
16,16,made_of,e,m,visual-form_and_surface,7,7,1091.0,79,ND,0.013,0.006,11.75,11.75,12,b,84,4.43,11653,9.36,7.8,3,4,1,0.0,0.0,11,14,13,4,30.8,0.364,0.378,48.58,4,11,2,0,10,1,0,0,0,0,0,1,caja,madera
17,17,made_of,e,m,visual-form_and_surface,5,17,88.0,12,ND,0.083,0.057,55.52,29.49,14,b,1,0.0,493,6.2,7.45,3,3,1,0.0,0.0,3,20,18,10,55.6,0.475,0.475,97.29,8,29,3,0,9,3,0,0,0,1,2,2,sujetador,algodón
18,18,made_of,e,m,visual-form_and_surface,7,9,1472.0,133,ND,0.008,0.005,0.0,0.0,13,b,1,0.0,305,5.72,8.2,8,7,2,318.69,47.53,0,14,12,5,41.7,0.345,0.343,130.38,5,24,3,0,6,0,0,0,0,0,3,2,pulsera,métal
19,19,made_of,e,m,visual-form_and_surface,7,7,1472.0,133,ND,0.008,0.005,0.0,0.0,13,b,7,1.95,231,5.44,4.0,5,4,2,157.51,11.64,3,12,12,1,8.3,0.181,0.186,204.77,10,18,6,0,5,0,0,0,0,0,1,0,cochecito,métal
20,20,made_of,e,m,visual-form_and_surface,15,4,1472.0,133,ND,0.008,0.01,0.0,0.0,13,b,28,3.33,1270,7.15,3.65,6,5,2,940.43,301.08,4,14,13,7,53.8,0.448,0.416,42.84,2,13,7,1,4,0,0,0,0,0,1,1,bala,métal
21,21,made_of,e,m,visual-form_and_surface,19,4,1091.0,79,ND,0.013,0.017,28.87,20.55,12,b,45,3.81,1498,7.31,5.5,6,5,2,702.25,132.2,0,12,9,1,11.1,0.242,0.224,264.44,9,32,3,0,4,0,0,0,0,1,1,3,agencia,madera
22,22,made_of,e,m,visual-form_and_surface,22,1,1091.0,79,ND,0.013,0.02,0.0,0.0,12,k,30,3.4,1289,7.16,5.1,5,5,2,609.9,48.56,0,10,10,5,50.0,0.444,0.478,12.12,1,10,2,0,4,0,0,0,0,1,3,0,cabaña,madera
23,23,made_of,e,m,visual-form_and_surface,27,1,1091.0,79,ND,0.013,0.025,28.87,20.55,12,k,22,3.09,6902,8.84,8.35,7,7,3,457.82,77.06,0,10,9,1,11.1,0.141,0.095,125.88,8,29,2,0,5,0,0,0,0,0,2,1,alacena,madera
24,24,made_of,e,m,visual-form_and_surface,24,1,1472.0,133,ND,0.008,0.016,0.0,0.0,13,k,11,2.4,1346,7.2,5.65,4,3,1,847.77,75.61,13,13,13,8,61.5,0.657,0.662,7.37,1,10,6,0,6,0,0,0,0,0,1,0,juala,métal
25,25,made_of,e,m,visual-form_and_surface,5,12,88.0,12,ND,0.083,0.057,95.37,69.34,14,k,1,0.0,31,3.43,4.2,8,7,3,404.65,44.69,0,18,15,6,40.0,0.371,0.353,214.92,12,33,3,0,7,1,0,0,0,2,2,3,camisola,algodón
26,26,made_of,e,m,visual-form_and_surface,6,13,1472.0,133,ND,0.008,0.004,0.0,0.0,13,k,7,1.95,785,6.67,2.95,6,5,2,1014.92,256.49,3,17,16,5,31.3,0.3,0.297,118.93,9,16,2,1,5,1,2,0,0,1,4,1,cañón,métal
27,27,made_of,e,m,visual-form_and_surface,14,4,1091.0,79,ND,0.013,0.013,0.0,0.0,12,k,9,2.2,531,6.27,6.1,5,4,2,428.43,16.15,1,18,17,10,58.8,0.568,0.555,48.32,3,14,6,2,5,0,0,0,0,0,4,1,canoa,madera
28,28,made_of,e,m,visual-form_and_surface,11,3,1091.0,79,ND,0.013,0.01,0.0,0.0,12,k,1,0.0,189,5.24,2.15,8,8,3,235.6,15.17,0,9,8,3,37.5,0.31,0.294,0.0,0,0,4,0,3,0,0,0,0,0,1,1,catapulta,madera
29,29,made_of,e,m,visual-form_and_surface,16,2,1091.0,79,ND,0.013,0.015,0.0,0.0,12,tS,1,0.0,242,5.49,2.75,5,4,2,322.77,78.83,3,9,8,3,37.5,0.43,0.414,0.0,0,0,1,0,3,0,2,0,0,0,2,1,violonchelo,madera
30,30,made_of,e,m,visual-form_and_surface,17,1,1472.0,133,ND,0.008,0.012,9.25,9.25,13,tS,60,4.09,5015,8.52,7.05,5,3,1,1160.95,474.04,1,11,10,2,20.0,0.24,0.219,18.24,2,7,2,0,4,2,0,0,0,0,2,1,cadena,métal
31,31,made_of,e,m,visual-form_and_surface,18,4,1091.0,79,ND,0.013,0.016,8.32,0.0,12,tS,89,4.49,10023,9.21,8.7,5,3,1,1594.15,158.01,2,16,15,7,46.7,0.398,0.425,295.15,9,32,3,0,7,0,0,0,0,2,3,1,silla,madera
